"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
;;;;;;"SHR %";0,039 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,022 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 739;0;0;0;0;0;
;"Cartoon Network";"CHOP SOCKY CHOOKS: KUNG FU KURCZAKI /SER.ANIM.ANG./";" ";"02:00:00";"00:16:11";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"02:16:11";"00:01:31";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"KRONIKI XIAOLIN /SER.ANIM.USA KAN./";" ";"02:17:42";"00:43:10";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"03:00:52";"00:00:26";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NINJAGO MISTRZOWIE SPINJITZU /SER.ANIM.DAN./";" ";"03:01:18";"00:21:55";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"03:23:13";"00:00:22";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"ELIOT KID /SER. ANIM. FRA.W.BRYT./";" ";"03:23:35";"00:49:06";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"04:12:41";"00:00:24";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"ROBOTBOY /SER.ANIM.USA/";" ";"04:13:05";"00:34:01";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"04:47:06";"00:00:26";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"CHOP SOCKY CHOOKS: KUNG FU KURCZAKI /SER.ANIM.ANG./";" ";"04:47:32";"00:41:51";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"05:29:23";"00:00:26";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"EKSPEDYCJA CARTOON NETWORK /PROG. PRZYG. EDUK. POL./";" ";"05:29:49";"00:30:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"06:00:01";"00:00:11";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"WUJCIO DOBRA RADA /SER.ANIM.USA/";" ";"06:00:12";"00:21:03";"AMR";4 430;744;3 686;0;744;744;
;;;;;;"AMR %";0,012 %;0,016 %;0,021 %;0,000 %;0,022 %;0,145 %;
;;;;;;"SHR %";0,416 %;0,583 %;0,995 %;0,000 %;2,933 %;14,412 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,022 %;0,082 %;0,022 %;0,000 %;0,118 %;0,765 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 796;3 916;3 880;0;3 916;3 916;
;;"PROMO";" ";"06:21:15";"00:00:43";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"06:26:36";"00:00:35";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NINJAGO MISTRZOWIE SPINJITZU /SER.ANIM.DAN./";" ";"06:27:11";"00:42:50";"AMR";20 814;6 073;6 199;0;7 614;731;
;;;;;;"AMR %";0,058 %;0,127 %;0,035 %;0,000 %;0,229 %;0,143 %;
;;;;;;"SHR %";0,941 %;2,864 %;0,776 %;0,000 %;6,603 %;4,301 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,192 %;0,310 %;0,139 %;0,000 %;0,711 %;0,765 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";68 666;14 802;24 632;0;23 668;3 916;
;;"PROMO";" ";"06:48:51";"00:00:31";"AMR";10 886;10 886;0;0;0;0;
;;;;;;"AMR %";0,030 %;0,228 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,538 %;6,034 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,030 %;0,228 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";10 886;10 886;0;0;0;0;
;;"PROMO";" ";"06:53:45";"00:00:35";"AMR";19 628;10 886;5 136;0;3 606;0;
;;;;;;"AMR %";0,055 %;0,228 %;0,029 %;0,000 %;0,108 %;0,000 %;
;;;;;;"SHR %";0,905 %;6,323 %;0,617 %;0,000 %;2,843 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,073 %;0,228 %;0,051 %;0,000 %;0,190 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";26 184;10 886;8 987;0;6 311;0;
;;"PROMO";" ";"07:15:30";"00:00:08";"AMR";48 656;10 886;13 758;0;14 532;0;
;;;;;;"AMR %";0,136 %;0,228 %;0,078 %;0,000 %;0,437 %;0,000 %;
;;;;;;"SHR %";1,549 %;2,850 %;1,242 %;0,000 %;7,624 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,136 %;0,228 %;0,078 %;0,000 %;0,437 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";48 656;10 886;13 758;0;14 532;0;
;;"PROMO";" ";"07:19:46";"00:00:36";"AMR";42 961;0;13 758;0;19 723;0;
;;;;;;"AMR %";0,120 %;0,000 %;0,078 %;0,000 %;0,592 %;0,000 %;
;;;;;;"SHR %";1,298 %;0,000 %;1,171 %;0,000 %;9,206 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,125 %;0,000 %;0,078 %;0,000 %;0,641 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";44 566;0;13 758;0;21 327;0;
;;"PORA NA PRZYGODE /SER.ANIM.USA/";" ";"07:20:22";"00:32:03";"AMR";58 257;7 712;10 295;0;38 482;7 712;
;;;;;;"AMR %";0,163 %;0,162 %;0,058 %;0,000 %;1,156 %;1,506 %;
;;;;;;"SHR %";1,452 %;1,589 %;0,751 %;0,000 %;11,475 %;13,407 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,288 %;0,182 %;0,150 %;0,000 %;2,014 %;1,699 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";103 037;8 698;26 518;0;67 039;8 698;
;;"PROMO";" ";"07:31:05";"00:00:16";"AMR";69 243;8 698;13 758;0;46 005;8 698;
;;;;;;"AMR %";0,194 %;0,182 %;0,078 %;0,000 %;1,382 %;1,699 %;
;;;;;;"SHR %";1,888 %;1,951 %;1,085 %;0,000 %;15,663 %;18,355 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,194 %;0,182 %;0,078 %;0,000 %;1,382 %;1,699 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";69 243;8 698;13 758;0;46 005;8 698;
;;"PROMO";" ";"07:54:20";"00:00:38";"AMR";62 189;8 698;12 381;0;40 328;8 698;
;;;;;;"AMR %";0,174 %;0,182 %;0,070 %;0,000 %;1,211 %;1,699 %;
;;;;;;"SHR %";1,348 %;1,387 %;0,774 %;0,000 %;10,032 %;10,666 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,174 %;0,182 %;0,070 %;0,000 %;1,211 %;1,699 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";62 189;8 698;12 381;0;40 328;8 698;
;;"PROMO";" ";"07:58:21";"00:00:37";"AMR";25 496;0;4 771;0;11 245;0;
;;;;;;"AMR %";0,071 %;0,000 %;0,027 %;0,000 %;0,338 %;0,000 %;
;;;;;;"SHR %";0,552 %;0,000 %;0,297 %;0,000 %;2,749 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,071 %;0,000 %;0,027 %;0,000 %;0,338 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";25 496;0;4 771;0;11 245;0;
;;"NIESAMOWITY SWIAT GUMBALLA /SER.ANIM.USA/";" ";"07:58:58";"00:43:24";"AMR";76 063;3 113;18 749;0;44 663;3 113;
;;;;;;"AMR %";0,213 %;0,065 %;0,106 %;0,000 %;1,342 %;0,608 %;
;;;;;;"SHR %";1,363 %;0,420 %;0,888 %;0,000 %;8,005 %;2,787 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,606 %;0,265 %;0,310 %;0,000 %;3,382 %;2,463 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";216 439;12 614;54 885;0;112 578;12 614;
;;"PROMO";" ";"08:09:53";"00:00:08";"AMR";61 103;8 698;12 771;0;42 016;8 698;
;;;;;;"AMR %";0,171 %;0,182 %;0,072 %;0,000 %;1,262 %;1,699 %;
;;;;;;"SHR %";1,221 %;1,270 %;0,724 %;0,000 %;8,851 %;9,740 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,175 %;0,182 %;0,072 %;0,000 %;1,309 %;1,699 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";62 650;8 698;12 771;0;43 563;8 698;
;;"PROMO";" ";"08:22:25";"00:00:09";"AMR";104 444;8 698;23 067;0;69 234;8 698;
;;;;;;"AMR %";0,292 %;0,182 %;0,130 %;0,000 %;2,080 %;1,699 %;
;;;;;;"SHR %";1,887 %;1,184 %;1,110 %;0,000 %;12,503 %;7,715 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,292 %;0,182 %;0,130 %;0,000 %;2,080 %;1,699 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";104 444;8 698;23 067;0;69 234;8 698;
;;"PROMO";" ";"08:25:12";"00:00:38";"AMR";72 323;0;23 067;0;45 770;0;
;;;;;;"AMR %";0,202 %;0,000 %;0,130 %;0,000 %;1,375 %;0,000 %;
;;;;;;"SHR %";1,257 %;0,000 %;1,023 %;0,000 %;7,586 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,202 %;0,000 %;0,130 %;0,000 %;1,375 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";72 323;0;23 067;0;45 770;0;
;;"PROMO";" ";"08:36:30";"00:00:16";"AMR";86 056;0;26 358;0;42 860;0;
;;;;;;"AMR %";0,241 %;0,000 %;0,149 %;0,000 %;1,287 %;0,000 %;
;;;;;;"SHR %";1,413 %;0,000 %;1,103 %;0,000 %;6,750 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,241 %;0,000 %;0,149 %;0,000 %;1,287 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";86 056;0;26 358;0;42 860;0;
;;"PROMO";" ";"08:49:28";"00:00:08";"AMR";60 823;0;11 862;0;36 818;0;
;;;;;;"AMR %";0,170 %;0,000 %;0,067 %;0,000 %;1,106 %;0,000 %;
;;;;;;"SHR %";0,947 %;0,000 %;0,462 %;0,000 %;5,846 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,170 %;0,000 %;0,067 %;0,000 %;1,106 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";60 823;0;11 862;0;36 818;0;
;;"PROMO";" ";"08:52:29";"00:00:23";"AMR";48 117;0;8 571;0;30 888;0;
;;;;;;"AMR %";0,135 %;0,000 %;0,048 %;0,000 %;0,928 %;0,000 %;
;;;;;;"SHR %";0,733 %;0,000 %;0,326 %;0,000 %;4,860 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,135 %;0,000 %;0,048 %;0,000 %;0,928 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";48 117;0;8 571;0;30 888;0;
;;"TOM I JERRY - WIELKA UCIECZKA /FILM ANIM.USA/";" ";"08:52:52";"01:20:26";"AMR";92 488;0;31 657;0;43 521;0;
;;;;;;"AMR %";0,259 %;0,000 %;0,179 %;0,000 %;1,307 %;0,000 %;
;;;;;;"SHR %";1,181 %;0,000 %;0,958 %;0,000 %;5,948 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,860 %;0,000 %;0,758 %;0,000 %;3,655 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";307 113;0;134 265;0;121 670;0;
;;"PROMO";" ";"09:25:02";"00:00:30";"AMR";96 027;0;43 158;0;44 211;0;
;;;;;;"AMR %";0,269 %;0,000 %;0,244 %;0,000 %;1,328 %;0,000 %;
;;;;;;"SHR %";1,254 %;0,000 %;1,351 %;0,000 %;6,035 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,269 %;0,000 %;0,244 %;0,000 %;1,328 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";96 027;0;43 158;0;44 211;0;
;;"PROMO";" ";"09:56:03";"00:00:42";"AMR";90 566;0;27 354;0;33 949;0;
;;;;;;"AMR %";0,253 %;0,000 %;0,154 %;0,000 %;1,020 %;0,000 %;
;;;;;;"SHR %";1,086 %;0,000 %;0,777 %;0,000 %;4,445 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,253 %;0,000 %;0,154 %;0,000 %;1,020 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";90 566;0;27 354;0;33 949;0;
;;"PROMO";" ";"10:23:31";"00:00:08";"AMR";66 981;0;21 266;0;28 369;0;
;;;;;;"AMR %";0,187 %;0,000 %;0,120 %;0,000 %;0,852 %;0,000 %;
;;;;;;"SHR %";0,798 %;0,000 %;0,601 %;0,000 %;3,626 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,187 %;0,000 %;0,120 %;0,000 %;0,852 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";66 981;0;21 266;0;28 369;0;
;;"PROMO";" ";"10:27:32";"00:00:40";"AMR";55 652;5 699;9 381;0;37 613;5 699;
;;;;;;"AMR %";0,156 %;0,120 %;0,053 %;0,000 %;1,130 %;1,113 %;
;;;;;;"SHR %";0,670 %;0,504 %;0,269 %;0,000 %;4,788 %;5,270 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,156 %;0,120 %;0,053 %;0,000 %;1,130 %;1,113 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";55 652;5 699;9 381;0;37 613;5 699;
;;"ANGELO RZADZI /SER.ANIM.FRA.KAN./";" ";"10:28:12";"00:21:46";"AMR";70 879;6 973;15 534;527;45 618;5 656;
;;;;;;"AMR %";0,198 %;0,146 %;0,088 %;0,020 %;1,370 %;1,104 %;
;;;;;;"SHR %";0,875 %;0,670 %;0,457 %;0,110 %;6,033 %;5,960 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,408 %;0,535 %;0,278 %;0,539 %;2,445 %;1,644 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";145 753;25 489;49 326;14 053;81 408;8 416;
;;"PROMO";" ";"10:38:49";"00:00:16";"AMR";91 284;19 304;32 089;9 662;46 163;7 567;
;;;;;;"AMR %";0,255 %;0,405 %;0,181 %;0,370 %;1,387 %;1,478 %;
;;;;;;"SHR %";1,125 %;1,763 %;0,939 %;1,907 %;6,032 %;6,963 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,287 %;0,535 %;0,228 %;0,539 %;1,412 %;1,644 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";102 395;25 489;40 363;14 053;47 012;8 416;
;;"PROMO";" ";"10:51:53";"00:00:08";"AMR";92 903;5 019;21 731;0;59 873;2 378;
;;;;;;"AMR %";0,260 %;0,105 %;0,123 %;0,000 %;1,799 %;0,464 %;
;;;;;;"SHR %";1,156 %;0,535 %;0,644 %;0,000 %;8,457 %;3,542 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,270 %;0,120 %;0,129 %;0,000 %;1,856 %;0,531 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";96 320;5 736;22 851;0;61 792;2 718;
;;"PROMO";" ";"10:55:39";"00:00:35";"AMR";56 017;0;13 888;0;33 471;0;
;;;;;;"AMR %";0,157 %;0,000 %;0,078 %;0,000 %;1,005 %;0,000 %;
;;;;;;"SHR %";0,690 %;0,000 %;0,405 %;0,000 %;4,804 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,157 %;0,000 %;0,078 %;0,000 %;1,005 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";56 017;0;13 888;0;33 471;0;
;;"STEVEN UNIVERSE";" ";"10:56:14";"00:21:23";"AMR";73 099;6 572;24 583;6 572;37 154;0;
;;;;;;"AMR %";0,205 %;0,138 %;0,139 %;0,252 %;1,116 %;0,000 %;
;;;;;;"SHR %";0,916 %;0,677 %;0,744 %;1,564 %;5,470 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,336 %;0,295 %;0,241 %;0,539 %;1,813 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";120 108;14 053;42 731;14 053;60 361;0;
;;"PROMO";" ";"11:06:59";"00:00:16";"AMR";56 017;0;13 888;0;33 471;0;
;;;;;;"AMR %";0,157 %;0,000 %;0,078 %;0,000 %;1,005 %;0,000 %;
;;;;;;"SHR %";0,710 %;0,000 %;0,430 %;0,000 %;4,942 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,157 %;0,000 %;0,078 %;0,000 %;1,005 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";56 017;0;13 888;0;33 471;0;
;;"PROMO";" ";"11:19:31";"00:00:08";"AMR";61 421;0;19 714;0;24 691;0;
;;;;;;"AMR %";0,172 %;0,000 %;0,111 %;0,000 %;0,742 %;0,000 %;
;;;;;;"SHR %";0,767 %;0,000 %;0,591 %;0,000 %;3,755 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,172 %;0,000 %;0,111 %;0,000 %;0,742 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";61 421;0;19 714;0;24 691;0;
;;"PROMO";" ";"11:22:47";"00:00:35";"AMR";48 460;0;13 888;0;20 899;0;
;;;;;;"AMR %";0,136 %;0,000 %;0,078 %;0,000 %;0,628 %;0,000 %;
;;;;;;"SHR %";0,605 %;0,000 %;0,411 %;0,000 %;3,083 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,136 %;0,000 %;0,078 %;0,000 %;0,628 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";48 460;0;13 888;0;20 899;0;
;;"WUJCIO DOBRA RADA /SER.ANIM.USA/";"MINISTERSTWO SMIECHU";"11:23:22";"01:13:14";"AMR";46 893;2 105;15 462;1 855;14 422;250;
;;;;;;"AMR %";0,131 %;0,044 %;0,087 %;0,071 %;0,433 %;0,049 %;
;;;;;;"SHR %";0,567 %;0,195 %;0,432 %;0,343 %;2,206 %;0,299 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,592 %;0,377 %;0,392 %;0,539 %;3,146 %;0,765 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";211 553;17 970;69 519;14 053;104 726;3 916;
;;"PROMO";" ";"11:49:33";"00:00:15";"AMR";38 289;0;9 381;0;15 235;0;
;;;;;;"AMR %";0,107 %;0,000 %;0,053 %;0,000 %;0,458 %;0,000 %;
;;;;;;"SHR %";0,467 %;0,000 %;0,268 %;0,000 %;2,205 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,107 %;0,000 %;0,053 %;0,000 %;0,458 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";38 289;0;9 381;0;15 235;0;
;;"PROMO";" ";"12:14:07";"00:00:30";"AMR";14 489;0;6 090;0;3 383;0;
;;;;;;"AMR %";0,041 %;0,000 %;0,034 %;0,000 %;0,102 %;0,000 %;
;;;;;;"SHR %";0,172 %;0,000 %;0,167 %;0,000 %;0,513 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,041 %;0,000 %;0,034 %;0,000 %;0,102 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";14 489;0;6 090;0;3 383;0;
;;"PROMO";" ";"12:51:11";"00:00:30";"AMR";33 491;0;6 090;0;14 888;0;
;;;;;;"AMR %";0,094 %;0,000 %;0,034 %;0,000 %;0,447 %;0,000 %;
;;;;;;"SHR %";0,397 %;0,000 %;0,165 %;0,000 %;2,423 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,094 %;0,000 %;0,034 %;0,000 %;0,447 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";33 491;0;6 090;0;14 888;0;
;;"MLODZI TYTANI AKCJA /SER.ANIM.USA/";"MINISTERSTWO SMIECHU";"12:51:41";"01:11:17";"AMR";40 882;3 324;20 500;0;13 922;3 324;
;;;;;;"AMR %";0,114 %;0,070 %;0,116 %;0,000 %;0,418 %;0,649 %;
;;;;;;"SHR %";0,486 %;0,284 %;0,576 %;0,000 %;2,336 %;4,342 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,328 %;0,271 %;0,246 %;0,000 %;1,464 %;2,524 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";117 218;12 923;43 529;0;48 735;12 923;
;;"PROMO";" ";"13:16:36";"00:00:13";"AMR";20 887;3 916;6 090;0;7 299;3 916;
;;;;;;"AMR %";0,058 %;0,082 %;0,034 %;0,000 %;0,219 %;0,765 %;
;;;;;;"SHR %";0,250 %;0,337 %;0,171 %;0,000 %;1,269 %;5,059 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,058 %;0,082 %;0,034 %;0,000 %;0,219 %;0,765 %;
